Multilingual,lg family,family code ,Language (group),alternate lg (group),language code,Language (based on native name),dialect code,ISO 3 Letter country code,OfficialVillageName,MajorCity,PopulationNumber,village (RB),village (DNAFLA),village (SIL),village (map),Transcribed Village Name,N Lat,W Lon,NFr,WFr,Nmn60,Wmn60,NMinFr,WMinFr,Ndg,Wdg,N Lat_2,W Lon_2,N SIL,W SIL,N Lat source,WLon source,N Lat map,WLon map,N Lat us,W Long us,sourceOfCoordinates,name of map,lg comment,industries,weekly market,surnames,social info,Image,ImageDescription,Audio,AudioTranscription,Video,VideoTranscription
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Binedama,,,,,,Binédama,"bindama (Fulfulde), bìrⁿédɔ̀wⁿɔ́ (Jamsay)",14.456,-3.055,0.675,0.559,27.0,3.0,27.675,03.559,14,03,14 27.675,03 03.559,,,,,,,14 27.675,03 03.559,Dogon project,Bandiagara,,,,,village in plains on a small elevation; Fulbe and Rimaibe; surnames Bari (Fulbe) and Tamboura (Rimaibe),,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Birga-Pulo,,,,,,,,14.033,-3.256,0.066,0.632,2.0,15.0,02.066,15.632,14,03,14 02.066,03 15.632,,,,,,,14 02.066,03 15.632,Dogon project,Bandiagara,,,,,"sister village for Birga (Togo Kan), in plains; surname Bari; farming and herding",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Bobowel,,,,,,Bobovel,bobowel,15.07,-3.35,0.408,0.033,4.0,21.0,04.408,21.033,15,03,15 04.408,03 21.033,,,,,,,15 04.408,03 21.033,Dogon project,Niafounké,,,,(multiple),village in plain; multiple surnames,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Bombori-Ouro (near Sambere) (photo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Boni,,,,,,Boni,booni,15.073,-1.219,0.66,0.247,4.0,13.0,04.660,13.247,15,01,15 04.660,01 13.247,,,,,15 05,02 13,15 04.660,01 13.247,Dogon project,Bambara Maoudé,,,"Thursday, large regional market",,"large town just off highway, becoming cosmopolitan",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Boula,,,,,,,bula,15.207,-2.685,0.747,0.181,12.0,41.0,12.747,41.181,15,02,15 12.747,02 41.181,,,,,,,15 12.747,02 41.181,Dogon project,Bambara Maoudé,,,,", surname Tamboura","village in two parts; on shelf near bottom of mountain, Fulbe-Rimaibe; on plains near base of mountain, Fulbe, surname Diallo; farming and herding; gardening (tobacco)",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Bounti,,,,,,,bunti,15.206,-2.575,0.655,0.926,12.0,34.0,12.655,34.926,15,02,15 12.655,02 34.926,,,,,,,15 12.655,02 34.926,Dogon project,Bambara Maoudé,,,,"surname Tamboura (Fulbe-Rimaibe), Diallo (Fulbe)","village in two parts; at base of mountain, Fulbe-Rimaibe (Tamboura); farther out in plains around wells, Fulbe (Diallo); farming and herding",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Dala,,,,,,Dala,dalla,15.101,-2.637,0.197,0.396,6.0,38.0,06.197,38.396,15,02,15 06.197,02 38.396,,,,,15 06,02 38,15 06.197,02 38.396,Dogon project,Bambara Maoudé,,,"Tuesday, medium","Dicko (Fulbe), Tamboura (Fulbe-Rimaibe)",village at base of mountain; Fulbe and Fulbe-Rimaibe; farming and herding,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Dari (near Hombori),,,,,,,daari,15.25,-1.787,0.068,0.432,15.0,47.0,15.068,47.432,15,01,15 15.068,01 47.432,,,,,,,15 15.068,01 47.432,Dogon project,Hombori (not shown),,tourism (climbers),,surname Diallo; ,village in rock-strewn plain at base of la Main de Fatouma; tourist camp for mountain climbers; herding and some farming,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Dari (near Nienagou),,,,,,Dari,"daari (Fulfulde), dà:rí (Bangime)",14.77,-3.835,0.376,0.218,46.0,50.0,46.376,50.218,14,03,14 46.376,03 50.218,,,,,,,14 46.376,03 50.218,Dogon project,Bandiagara,,,,,"village on plains near hill; Fulbe-Rimaibe; surnames Cisse, Sidibe, Diallo, Sangare, Tamboura; farming and herding",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Dari (near Sambere) (photo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Dari-Wouro,,,,,,,daar-wuro,14.488,-3.609,0.523,0.904,29.0,36.0,29.523,36.904,14,03,14 29.523,03 36.904,,,,,,,14 29.523,03 36.904,Dogon project,Bandiagara,,,,,small Fulbe village paired with Dari (Dogulu) on high plateau near seasonal river; surname Diallo; herding and light farming,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Debere,,,,,,Débéré,,15.1,-3.016,,,6.0,1.0,06,01,15,03,15 06,03 01,,,,,15 06,03 01,,,map,Niafounké,,,,,,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Derou,,,,,,Dérou,"deeru (Fulfulde), dè:rú (Togo Kan)",14.037,-3.234,0.407,0.12,2.0,14.0,02.407,14.120,14,03,14 02.407,03 14.120,,,,,,,14 02.407,03 14.120,Dogon project,Bandiagara,,,,,Fulfulde hamlet in plains; surname Bari; farming and herding,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Dianvély (Fulbe),,,,,,Dianwely,jaŋweli,14.587,-3.959,0.383,0.989,35.0,57.0,35.383,57.989,14,03,14 35.383,03 57.989,,,,,,,14 35.383,03 57.989,Dogon project,Bandiagara,,,,Sidibe,Fulbe village in sandy plains near Sevare,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Diengeni-Foulbe,,,,,,,"jeŋeni-fulbe (Fulfulde), jɛ̀ŋɛ̀-fúlàmbò: (Tomo-Kan)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulfulde-speaking village next to smaller Dogon village Diengeni-Habe; Fulbe (surnames  Diagayete, Diakite, Diallo, and Sangare), Rimaibe (surnames Tamboura, Traore, and Djiguende), and Diango cattle merchants [ja:ngo] (surname Landoure)",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Diommo (Fulbe),,,,,,,jɔmmɔ,14.4,-3.642,0.073,0.916,24.0,38.0,24.073,38.916,14,03,14 24.073,03 38.916,,,,,,,14 24.073,03 38.916,Dogon project,Bandiagara (not separately labeled),,,,,"Fulbe village on slight elevation in low plateau, paired with Diommo (Tommo); surname Diallo; farming and herding",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Dioumdiouréré,,,,,,Dioumdiouréré,"jonjileere, joŋgileere",14.871,-1.973,0.507,0.712,52.0,58.0,52.507,58.712,14,01,14 52.507,01 58.712,,,,,,,14 52.507,01 58.712,Dogon project,Djibo,,,,,village; Fulbe-Rimaibe; surname Tamboura; some weavers,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Dirimbe,,,,,,Dirimbé,dirimbe,15.016,-2.9,,,1.0,54.0,01,54,15,02,15 01,02 54,,,,,15 01,02 54,,,map,Bambara Maoudé,,,,,,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Dongoro,,,,,,Dongoro,doŋgoro,14.583,-3.987,0.061,0.436,35.0,59.0,35.061,59.436,14,03,14 35.061,03 59.436,,,,,,,14 35.061,03 59.436,Dogon project,Bandiagara,,,,"Traore, Bari",Rimaibe village in sandy plains near Sevare,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Dorodon,,,,,,Dorodon,dɔ̀rɔ́-dɔ́ (Tengou Kan),14.121,-3.457,0.484,0.744,7.0,27.0,07.484,27.744,14,03,14 07.484,03 27.744,,,,,,,14 07.484,03 27.744,Dogon project,Bandiagara,"majority Fulfulde, Dogon speak Tengou Kan",,,,"predominantly Fulbe village with some Dogon; surname Boli and Bari (Fulbe), Guindo and Togo (Dogon); farming and herding",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Dossou,,,,,,Dossou,"doosu (Fulfulde), dó:sù (HS)",15.123,-1.701,0.65,0.119,7.0,42.0,07.650,42.119,15,01,15 07.650,01 42.119,,,,,,,15 07.650,01 42.119,Dogon project,Hombori,,,,,small zone of Fulbe hamlets in plains near Kobou (Songhay); farming and herding,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Doussoungou,,,,,,,dusuŋgu,15.207,-2.402,0.719,0.235,12.0,24.0,12.719,24.235,15,02,15 12.719,02 24.235,,,,,,,15 12.719,02 24.235,Dogon project,Bambara Maoudé,,,,surname Tamboura; ,"village in three slightly separated sections at base of mountain; sections called dusuŋgu, lowol, and koroy; Fulbe-Rimaibe; farming and herding",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Drimbe (aka Dirimbe),,,,,,Dirimbé,dirimbe,15.02,-2.889,0.362,0.621,1.0,53.0,01.362,53.621,15,02,15 01.362,02 53.621,,,,,,,15 01.362,02 53.621,Dogon project,Bambara Maoudé,,,,"Diallo, Tamboura",village in plains; Fulbe (Diallo) and Fulbe-Rimaibe (Tamboura); farming and herding,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Ferendi,,,,,,,ferendi,15.25,-2.483,,,15.0,29.0,15,29,15,02,15 15,02 29,,,,,15 15,02 29,,,map,Bambara Maoudé,,,,surname Tamboura; ,village at base of mountain; Fulbe-Rimaibe; farming and herding,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Fetesambou,,,,,,Fétésambou,fetasambo,14.838,-2.2,0.5,,50.0,12.0,50.5,12,14,02,14 50.5,02 12,,,,,14 50.5,02 12,,,map,Douentza,,,,,Fulbe-Rimaibe hamlet; surname Diallo,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Gafiti,,,,,,,gaafiti,15.157,-2.866,0.7,0.026,9.0,52.0,09.700,52.026,15,02,15 09.700,02 52.026,,,,,,,15 09.700,02 52.026,Dogon project,Bambara Maoudé,,,,surname Tamboura; ,"village at base of mountain; Fulbe-Rimaibe; farming and herding; new garden in 2011 (onions, garlic, potato)",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Gai,,,,,,Gai,gay,15.101,-2.118,0.102,0.138,6.0,7.0,06.102,07.138,15,02,15 06.102,02 07.138,,,,,,,15 06.102,02 07.138,Dogon project,Bambara Maoudé,,pottery,,surname Tamboura; ,village; Fulbe-Rimaibe; base of inselberg; pottery,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Gana (near Kikara),,,,,,,gana,15.203,-2.517,0.331,0.062,12.0,31.0,12.331,31.062,15,02,15 12.331,02 31.062,,,,,,,15 12.331,02 31.062,Dogon project,Bambara Maoudé,,,,surname Tamboura; ,"village; abandoned old village on lower slope of mountain; new village at base of mountain; Fulbe-Rimaibe; ancient Tellem constructions visible at base of cliffs surmounting the lower slopes; gardening with water piped down from summit (sesame, tobacco, onion, squash, cassava)",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Garmi,,,,,,Garmi,garmi,15.233,-1.803,0.038,0.374,14.0,48.0,14.038,48.374,15,01,15 14.038,01 48.374,,,,,,,15 14.038,01 48.374,Dogon project,Hombori,,,,"surnames Tamboura, Dicko; ","Fulbe-Rimaibe village in two sections, one on the plains at the western base of la Main de Fatouma, the other nearby on the lower slopes; village formerly much higher up, on summit; farming and herding",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Gassi (near Banggel-Toupe),,,,,,Gassi,"gasi (Fulfulde), gásà (Dogul Dom)",14.672,-3.619,0.589,0.31,40.0,37.0,40.589,37.310,14,03,14 40.589,03 37.310,,,,,,,14 40.589,03 37.310,Dogon project,Bandiagara,Fulfulde-speaking but majority are ethnic Dogon (Tommo),,,,"village on edge of plateau overlooking valley; surnames Kampo, Diallo, Kansaye [kàⁿsâj]; originally populated by Fulfulde speakers (surname Kansaye [kàⁿsâj]) from Kani in Tommo-So zone; farming and herding; extensive gardening in valley",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Godoware,,,,,,Godoware,godowaare,14.855,-1.771,0.5,0.5,51.0,46.0,51.5,46.5,14,01,14 51.5,01 46.5,,,,,14 51.5,01 46.5,,,map,Djibo,,,,,village; Fulbe-Rimaibe; surname Tamboura,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Gogoro,,,,,,,gogoro,15.219,-2.371,0.241,0.506,13.0,22.0,13.241,22.506,15,02,15 13.241,02 22.506,,,,,,,15 13.241,02 22.506,Dogon project,Bambara Maoudé,,,,surname Diallo; ,village in plains; Fulbe; farming and herding,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Goundaka (east of Mopti),,,,,,Goundaka,??,14.488,-3.938,0.546,0.485,29.0,56.0,29.546,56.485,14,03,14 29.546,03 56.485,,,,,14 30,03 57,14 29.546,03 56.485,map,Bandiagara,"Fulfulde, also Bambara, Dogon (Mombo), a few Tamashek (Bella)",,"Saturday, local","Ongoiba, Karambe, Dicko, Cissé",ethnically cosmopolitan village just off Mopti-Bandiagara highway (distinct from Goundaka near Sofara),,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Goylel (Fulbe),,,,,,,goylel,15.319,-1.922,0.274,0.553,19.0,55.0,19.274,55.553,15,01,15 19.274,01 55.553,,,,,,,15 19.274,01 55.553,Dogon project,Hombori (not shown),,,,"surnames Diallo, Tamboura, Dicko; ","majority Fulbe-Rimaibe section of village on lower slope of low hill ridge beside sandy plains, came with Dogon expelled by the French from Tabi mountain; farming and herding; school; see also Goylel (Dogon)",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Gueourou (Fulbe),,,,,,,géwrú pùlɔ̀-gɔ̀:rɔ́ (Togo Kan),14.158,-3.224,0.842,0.751,9.0,13.0,09.842,13.751,14,03,14 09.842,03 13.751,,,,,,,14 09.842,03 13.751,Dogon project,Bandiagara (not shown),,,,,"sister village for Geourou (Togo Kan), in plains; surnames Bari, Diallo, Boli; farming and herding",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Haouangou,,,,,,,háwáŋgù,14.538,-1.951,0.565,0.103,32.0,57.0,32.565,57.103,14,01,14 32.565,01 57.103,,,,,,,14 32.565,01 57.103,Dogon project,Djibo (not shown),,,,,hamlet; coordinates suggest part of Dionouga complex,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Hinde Gaouga,,,,,,,winde gawde,14.869,-1.988,0.293,0.505,52.0,59.0,52.293,59.505,14,01,14 52.293,01 59.505,,,,,,,14 52.293,01 59.505,Dogon project,Djibo (not shown),,,,,hamlet; Fulbe-Rimaibe; surname Diallo,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Iribanga (Fulbe),,,,,,,yèrìⁿ-bàŋà pùlɔ̀-gɔ̀:rɔ́ (Togo Kan),14.139,-3.451,0.664,0.102,8.0,27.0,08.664,27.102,14,03,14 08.664,03 27.102,,,,,,,14 08.664,03 27.102,Dogon project,Bandiagara (not shown),,,,,"hamlet, part of Iribanga village cluster, originally split off from Dorodon; Fulbe; surname Boli; farming and herding",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Isseye,,,,,,Isey,"isey (Fulfulde), ìsɛ̂y (Dogon)",14.87,-2.021,0.348,0.453,52.0,1.0,52.348,01.453,14,02,14 52.348,02 01.453,,,,,,,14 52.348,02 01.453,Dogon project,Douentza,chiefly family is Jamsay (Dogon) but most residents are Fulbe-speaking,,"Saturday, local",,"village; surnames Ongoiba (Dogon, chiefly family), Tamboura (Fulbe-Rimaibe); some blacksmiths and weavers",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Kerana,,,,,,Kérana,kerena,15.033,-2.683,,,2.0,41.0,02,41,15,02,15 02,02 41,,,,,15 02,02 41,,,map,Bambara Maoudé,,,,,,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Kiri-Fulbe (near Hombori),,,,,,,ceeri,15.285,-1.636,0.25,0.342,17.0,38.0,17.250,38.342,15,01,15 17.250,01 38.342,,,,,,,15 17.250,01 38.342,Dogon project,Hombori (not shown),,,,surname Diallo; ,village in plains stretched out along base of long dune ridge; farming and herding; gardening; for Songhay section see Kiri (near Hombori),,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Koboutjirey,,,,,,Kobahi,"kobucirey (Fulfule), kòbù círèy (Songhay HS, ""red fig.tree"")",15.292,-1.653,0.9,0.328,17.0,39.0,17.900,39.328,15,01,15 17.900,01 39.328,,,,,,,15 17.900,01 39.328,Dogon project,Hombori,"Fulfulde speaking majority, some Tamashek speakers",,,"surnames Maiga, Gariko, Dicko, Sidibe, Diallo; ","village in plains at base of long dune ridge; Fulbe-Rimaibe (former slaves of Songhay) and freeborn Fulde; farming and herding; extensive gardens (date palm, African eggplant, tomato, cassava, cabbage, lettuce)",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Kodiol,,,,,,,kojol,14.591,-3.87,0.77,0.363,35.0,52.0,35.770,52.363,14,03,14 35.770,03 52.363,,,,,,,14 35.770,03 52.363,Dogon project,Bandiagara,,,,,"Fulbe-Rimaibe hamlet on plain; surnames Bari, Tamboura, one Tommo So speaking family of Karambe",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Kolongo,,,,,,,koloŋgo,15.088,-2.653,0.468,0.359,5.0,39.0,05.468,39.359,15,02,15 05.468,02 39.359,,,,,,,15 05.468,02 39.359,Dogon project,Bambara Maoudé,,,,surname Tamboura; ,village at base of mountain; Fulbe-Rimaibe; farming and herding,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Kombo-Ogourou (Fulbe),,,,,,,kùmɔ̀gùrù pùlɔ̀-gɔ̀:rɔ́,14.24,-3.241,0.697,0.835,14.0,14.0,14.697,14.835,14,03,14 14.697,03 14.835,,,,,,,14 14.697,03 14.835,Dogon project,Bandiagara (not separately labeled),,,,,"Fulbe village paired with Kombo-Ogorou (Jamsay speaking), said to have come from Burkina; surname Bari; farming and herding; gardens (papaya, tomato, etc.)",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Kondioly,,,,,,Koundioli,konjoli,14.588,-3.925,0.47,0.856,35.0,55.0,35.470,55.856,14,03,14 35.470,03 55.856,,,,,,,14 35.470,03 55.856,Dogon project,Bandiagara,,,,,"Fulbe-Rimaibe hamlet on plain; surnames Diallo, Bari",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Koni,,,,,,,,14.702,-3.976,0.232,0.94,42.0,58.0,42.232,58.940,14,03,14 42.232,03 58.940,,,,,,,14 42.232,03 58.940,Dogon project,Bandiagara (not shown),,,,,"village, Fulbe-Rimaibe, surname Tamboura",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Konna,,,,,,Kona,konna,14.934,-3.886,0.117,0.305,56.0,53.0,56.117,53.305,14,03,14 56.117,03 53.305,,,,,14 58,03 54,14 56.117,03 53.305,Dogon project,Bandiagara,,,"Thursday, fairly large",,"on main highway; distribution center for fish caught in nearby Niger R; mix of Fulbe, Fulbe-Rimaibe, and Marka, plus a few Dogon and Songhay",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Kouna,,,,,,Kouna,"kuna (Fulfulde), kó:nà: (Tomo Kan)",14.25,-4.15,,,15.0,9.0,15,09,14,04,14 15,04 09,,,,,14 15,04 09,,,map,Mopti,"majority Fulfulde speakers, minority Tomo-Kan speakers",,,,,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Koundougou-Wourol,,,,,,,kundogo-wurol,13.819,-3.423,0.249,0.673,49.0,25.0,49.249,25.673,13,03,13 49.249,03 25.673,,,,,,,13 49.249,03 25.673,Dogon project,Tougan (not shown),,,,,"Fulbe settlement slightly apart from Koundougou, in plains; surnames Diallo, Bari; farming and herding",,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Koursoutou,,,,,,,kursutu,15.189,-2.821,0.615,0.461,11.0,49.0,11.615,49.461,15,02,15 11.615,02 49.461,,,,,,,15 11.615,02 49.461,Dogon project,Bambara Maoudé,,,,surname Diallo; ,village at base of mountain; Fulbe; farming and herding,,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Lenga,,,,,,Lènga,leŋa,14.866,-2.133,,,52.0,8.0,52,08,14,02,14 52,02 08,,,,,14 52,02 08,,,map,Douentza,,,,,hamlet; Fulbe-Rimaibe; surname Diallo,,,,,,
