code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So,Tomo Kan (Segue),Tomo Kan (Diangassagou),"Tommo So (Tongo Tongo, combined)","Tommo So (Tongo Tongo, JH)",,"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,family,book p.,synonymy,comment,domain,specimen
fauna,arthropod (myriapod),faune,arthropode (myriapode),201,6,2,,,60009,,,2011,,large biting centipede (scolopender),scolopendre (gros centipède mordant),,nènènsá:rá,"yàgùrɔ̂-m mù-mùrⁿù-m\\mù-mùrⁿù (""young.woman's scorpion"")",yàgùrɔ̂-m mòmò:rⁿò-m,"[[yà-gùrɔ́]-[kùwò]-jî:] (""[young woman]-bite-kill"")",,"nɛ̀mnɛ̀ só:nó (""scorpion-pointed"")",yàgùrɔ̂-m lémdè,nɛ̀mnɛ̀-só:nó,,,"sòm-mɔ̀wɛ́ⁿ (""horse-scorpion"")",sǒŋ mwɛ̀:ⁿ,úlù-ŋ bàràsórò,jòⁿsó,"còⁿkàⁿ-sílé (""porcupine-incise"")",kàdàlmà-sèèníyà ~ kàdàràmà sèèníé (initial is a chief's name),kàdàlmà-sèèníyà,,kàdàràmà sèèníé (initial is a chief's name),dùmbò-ɔ̀nɔ̀nɔ̂,bɛ̀ndím kɛ́rà:dày,bèŋgìnè-kɛ́rɛ̀,"yà-sègí-kɛ̀rɛ̀-gírà, yà-sègî: kɛ̀rɛ̀-gìyà","sòɲòní ìnì-ìní (""horse's scorpion"")",kàrà-kàrà-kónjí,kàràkàrà kònjí ,nóndó tá:rè,,xxx,[kàlà-kàlà]-sà:l,,"ɲè-bógó-nɔ́mbɛ̀ⁿ (""old womans scorpion"")",,,"wóy-hày-èy ʔán-dèŋ-ò [tones] (""woman-give.birth-Pl's scorpion""), wòy hí:j-éy ʔândéɲ-ɲà (""woman married scorpion-Dimin"")","[wòy-tàw]-de̊ŋ (""[woman-new]-scorpion"", i.e. scorpion of new brides)",,Scolopendra sp. (cf.),"Arthropoda, Myriapoda, Chilopoda, Scolopendromorpha, Scolopendromorphidae",,,associated by Dogon with scorpions,"fauna (arthropod, centipede/millipede)","2004_032, 2005_069"
fauna,arthropod (myriapod),faune,arthropode (myriapode),201,6,3,,,60010,,,2011,,"small red, caterpillar-like polydesmid millipede (abundant, crawling actively on ground in fields during rainy season, eaten by cows)","petit centipède polydesmide rouge (ressemblant aux chenilles, rampe en masse dans les champs pendant l'hivernage, mangé par les vaches)",,,,sàyèrìyè bárⁿà-m,"[gɔ̀ŋ-gɔ̀ŋ]-sɛ́:rɛ̀ (""millipede-witness"")",,"nàŋá-mû: (""cow-moo"")",gɔ̀m-nɔ̀-gɔ̀m sɛ̀ŋɛ́rⁿɛ̀,,,sà:-sú:ⁿ,"[kàn-kɔ̀ⁿ]-bàní (""millipede-red"")",,nàŋá nɛ̀:ndɛ̀,,"nàŋà-ɲúŋgólò-kúⁿ (""cow-knee"")","sóló ɛ̀ndɛ̀ kùmɔ̀ (""field's centipede"")",,,"sóló ɛ̀ndɛ̀ kùmɔ̀ (""field's centipede"")",,"nǎ: mû:ⁿ (""cow's moo"")",ànzùkùmà bǎn,"gwà:-njìlè bánè\\gwà:njìlè bán-bò = gwà:njùl-mbò bán-bò, nàwó: gwà:-njìlè",àmànjí,,,ké:ré,,,,,"sɥèndɛ́-gɛ̀ŋgɛ̀rɛ̀ (""chickens'-..."")",,,,,,,"Arthropoda, Myriapoda, Diplopoda, Polydesmida",,,,"fauna (arthropod, centipede/millipede)",2006_056 = 2005_054
fauna,arthropod (myriapod),faune,arthropode (myriapode),201,6,1,,,60011,,,2011,,giant millipede,mille-pattes géant,,gòròŋgò:sí,gòrǒm-gómjó-ḿ\\gòrǒm-gómjó,sáyèríyè-m,gɔ̀ŋ-gɔ̌ŋ,,"gònò-gòrú ~ gòrûm-gó:ɲó (cf. gòrú 'groove', gɔ̀nɔ́ 'tilt')",gɔ̀m-nɔ̀-gɔ̌m,gòrúm-gó:só,,gɔ̀ɲú-gɔ́ɲɔ́rⁿɔ́,"kàn-kɔ́ⁿ, [kàn-kɔ̀ⁿ]-gɛ̂m (""millipede-black"")",kàrⁿùkɔ́:ⁿ,ɛ̀ndɛ̀-gùmɔ́,gòrɛ́ⁿ-gònjé,gòríⁿ-gònjé,ɛ̀ndɛ̀-kùmɔ́ ~ -kùmó,ɛ̀ndɛ̀-kùmó,,ɛ̀ndɛ̀ kùmɔ́ (man's name plus 'seer'),gɔ̀ŋɔ́,àndùkɔ̀rⁿɔ́,ànzùkùmà,gwà:njìlè gɛ́mɛ̀\\gɛ́mɛ̀-mbò,gó:ŋá,gɔ̀mɛ́ⁿ-sàlìyè,,rámà kúmàsì,,nánsímbè,ŋgòlò-ŋgòlò ~ gòlò-ŋgòlò,,kʷé:rⁿɛ̀,,,"gòŋgòn-nó:n-ó, gôŋ-gón-ò",ʔàlàŋgɔ̀rmɔ́,,Archispirostreptus sp. (cf.),"Arthropoda, Myriapoda, Diplopoda, Spirostreptida",,,"dark brown, soft-bodied","fauna (arthropod, centipede/millipede)",
fauna,arthropod (arachnid),faune (arachnid),arthropode (arachnide),201,5,2,,,60012,,,2011,,spider's web,toile d'araignée,,,nì-nɔ̀:rⁿɔ̌yⁿ,,,,,nɔ̀-nɔ̀:rⁿɔ́,,,nɔ̀nɔ̀:rⁿɔ̀-dá,,,,,jɔ̂:,jì-jìbú ~ jìbì-jìbú (also 'spider'),jìjìbú,,,,,,gɔ́ŋɔ́-mbó pìndì:,,ná:nú kóbú,ná:nú kóbú ,,,,,,,,,dà-dà:r-ò wá:s-ò,dí-dìlá,,,"Arthropoda, Arachnida, Araneae",,,,"fauna (arthropod, construction)",
fauna,arthropod (scorpion),faune,arthropode (scorpion),201,4,1,,,60014,,,2011,,fat-tailed scorpion,scorpion des maisons,,nèné,mù-mùrⁿû-m\\mù-mùrⁿû:,mòmó:rⁿô-m,mɔ̀-mɔ̀rⁿɔ̂,,nɛ̀mnɛ́,lèmdé,nɛ̀mnɛ́,,mòtǎm,mɔ̀wɛ́ⁿ,mwɛ́:ⁿ,mòmé:,múní,múnnî:,mòòmíyé ~ mòòmíyó,mòòmíyè,,mòòmíó,bómbò,mòmbó:,tè:rⁿè,ìjìmîn\\ìjìmîn-bò,ìnì-ìní,núŋúnù,núŋúnù ,nǒ:ndò,nó:ndò,nòmú-nòmù,nùmùn,,"nɔ́mbɛ̀, nɔ̀mbɛ́ bùyɛ̀ (""red scorpion"")",,,ʔàn-dèŋ-ò,"děŋ (Def dɛ̀wⁿ-ɔ̌:) (also ""mosquito"")",,Androctonus amoreuxii (adult),"Arthropoda, Arachnida, Scorpiones, Buthidae",,,,"fauna (arthropod, scorpion)",2004_041
fauna,arthropod (scorpion),faune,arthropode (scorpion),201,4,2,,,60015,,,2011,,baby fat-tailed scorpion,jeune scorpion des maisons,,,mù-mùrⁿù sákèlê-m\\sákèlê:,,mɔ̀-mɔ̀rⁿɔ́ sákèndè,,,já:-lémdè,,,,mɔ̀wɛ̀ⁿ-sàkèné,,,mùnì kwá:,,sákènníyè,sákènníyè ~ sákèɲɲè,,"mòòmìò gààlɛ̀-ý (""scorpion small""), sákèɲè",,sákè:lè,sákènélè,,,nùŋùnù kɛ́ndɛ̀lɛ̀,nùŋùnù kɛ́ndɛ̀lɛ̀  ,ɔ̀gɔ́ nóndò,ɔ́gɔ́ nó:ndó,,,,,,,,kùsù-kéŋgíré,,Androctonus amoreuxii (juvenile),"Arthropoda, Arachnida, Scorpiones, Buthidae",,,,"fauna (arthropod, scorpion)",2006 spec
fauna,arthropod (scorpion),faune,arthropode (scorpion),201,4,3,,,60013,,,2011,,black emperor scorpion,scorpion noir sp.,,,"sǒ-m mú-mùrⁿù-m\\mú-mùrⁿù (""horse's scorpion"")",,"sǒm mɔ́-mɔ́rⁿɔ̀ (""horse's scorpion"")",,"dǔŋ nɛ́mnɛ̀ (""elephant's scorpion"")",lèmdè sátéllè,zárwá kùrɔ́,,,,,mòmè: gɛ́m,mùnì jíní,mùnnì: jínì,sǒm mòòmìyè ~ mòòmìyò,sǒm mòòmìyè,,"sóm mòòmìò (""horse's scorpion"")",,,,,,sòɲònì núŋúnù,sùɲùnì núŋúnù ,nóndó-kórò,nó:ndó  kórò,,,,"nɔ́mbɛ́ pɔ̀:rɛ̀ (""black scorpion"")",,,,"tàrkùndèy-dêŋ (""elephant-scorpion"")",,Pandinus imperator,"Arthropoda, Arachnida, Scorpiones, Scorpionidae",,,,"fauna (arthropod, scorpion)",
fauna,arthropod (tick),faune,arthropode (tique),201,3,2,,,60637,,,2011,,chicken tick,tique de poulet,,,,,,,,,,,,,,,,,ɛ̀njɛ̀-kábú,ɛ̀njɛ̀-kábú,,,,,,,,,,,,sì:já ʔɛ̀ŋɛ́nɛ̀,,,,,,,"gɔ̀ŋgɔ̀-gá:ní (""chicken-louse"")",,cf. Argas persicus,"Arthropoda, Arachnida, Acarina, Parasitiformes, Ixodoidea, Argasidae",,,,"fauna (arthropod, tick)",
fauna,arthropod (tick),faune,arthropode (tique),201,3,1,,,60460,,,2011,,tick (any),tique (toute),,kúⁿsú,kó:sú-m\\kó:sú,,,,cì-cí:jú,,kì-kí:zú,,kíjí,búbù,kíbjù,kídù,kù-kòjú,kúkójú,,,,,kízùbù,cíbdè,cíbzù,,kówójì,nìgìlí,,pɛ́rì,pérì,"kò:tí (on dog), lèllí (on cows)",kó:tì,,dárì,,,ʔàŋ-kàŋg-ò,,,,"Arthropoda, Arachnida, Acarina, Parasitiformes, Ixodoidea, Ixodidae",,,,"fauna (arthropod, tick)",
fauna,arthropod (tick),faune,arthropode (tique),201,3,3,,,60458,,,2011,,large tick sp.,grande tique sp.,,,,pé:sú-m,gǒ:-m\\gǒ:,,,ìsì-kéwsé,,,,,,,,,léllèl,léllèl,,,,,,,,,,,pérì,,,,,,,,ʔàn-kànjí,,Hyalomma impeltatum,"Arthropoda, Arachnida, Acarina, Parasitiformes, Ixodoidea, Ixodidae",,,,"fauna (arthropod, tick/louse)",2004_042
fauna,arthropod (tick),faune,arthropode (tique),201,3,4,,,60459,,,2011,,small tick sp.,petite tique sp.,,sǎy,,nǎ:-gégè-m,ké:mbí,,,ɛ̀njɛ̀-káwsá,,,,,,,,,kíbídù,kíbídù,,,,,,kɔ́bíjɛ́\\kɔ́bíjɛ́-mbó,,,,,síjá pérì,,,,,,,,,,Rhipicephalus cf. turanicus,"Arthropoda, Arachnida, Acarina, Parasitiformes, Ixodoidea, Ixodidae",,,,"fauna (arthropod, tick/louse)",2004_011
fauna,bird (general),faune,oiseau (générique),201,7,1,,,60016,,,2011,,bird (any),oiseau (générique),,,nì:yⁿî-m\\nì:yⁿî:,nì:yî-m,lì:gí,,sà:j-î:ⁿ (ends in 'child'),sà-sǎy,"sà:-sî:ⁿ, sà:ⁿ-sî:ⁿ",,sàjú,sì-så:,sì-sǎ:,sàdâ:,"sàjú, sɛ̀jíⁿ (small)",sájú:,sàdàá,sàdàá,,sàdàá,lègé:-gù,àdě:,àɲàn,nǐ:\\nì:-mbó,níyɛ̀,ìní,ìní ,níwⁿì,níwⁿì,ní:bè,nèjjé,,dɔ́rɛ̀:,,,cír-ò,kírò,,,Aves,,,,fauna (bird),
fauna,bird (general),faune,oiseau (générique),201,7,2,,,60017,,,2011,,water birds,oiseaux d'eau,,ní sày,,,,,ní:-[sá:j-î:ⁿ],ní: wà sà-sǎy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aves,,,,fauna (bird),
fauna,"bird 12 (crow, starling)",faune,"oiseau 12 (corbeau, étourneau)",201,19,12,,,60019,,,2011,,"birds in large flocks including millet pests (Quelea, Passer, etc.)","oiseaux dans de grosses volées y compris les mange-mil (Quelea, Passer etc.)",,,,,,,[nì:-bá:]-[sá:j-î:ⁿ],sà-sày jàwⁿá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aves,,,,fauna (bird),
fauna,bird 14 (finch),faune,oiseau 14 (petits passerins),201,21,9,,,60018,,,2011,,"various small light-colored birds (e.g. sparrows, female finches)","plusieurs petits oiseaux de couleur claire (moineaux, passerins femelles, etc.)",,sày pírì:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tìkr-íy-à: ~ cìkìr-íy-à:,kìrò-mìsìyà,,,Aves,,,,fauna (bird),
fauna,bird 03 (hawk),faune,oiseau (rapace),201,10,28,,,60020,,,2011,,hawk spp.,rapace spp.,,,,,tè-têw,,tì-téw,tè--téw,,,,,tí-tébù,tèbù-tébù,,,tè-tébú ~ tèbù-tébú,tè-tébú,,,,,,tébè\\tébù:,,,,,,,,,,,,,gábù,,(various),"Aves, Accipitridae",,,,fauna (bird),
fauna,bird 03 (hawk),faune,oiseau (rapace),201,10,26,,,60021,,,2011,,bateleur hawk,bateleur (rapace),,tèw píró,,,"gìrè-jɛ́mí (""eye-black"")",,"àrⁿà-kɔ̂: (""rain-..."")",,,,,,,,,ɛ̀nì-kôⁿ,,,,,,,àrⁿàkwà:,"dúl\\dúl-mbó, tèbè-dúl\\tèbù:-[dúl-mbó]",sìgàl-kɔ́:nɔ̀,,,,,,,,tèw nɛ̂:r (ID uncertain),,,kùlb-ò,ʔàlìŋgâ,,Terathopius ecaudatus,"Aves, Accipitridae",81,,,fauna (bird),
fauna,bird 03 (hawk),faune,oiseau (rapace),201,10,8,,,60022,,,2011,,lappet-faced vulture (also falcon),oricou,,,,,bɛ́ lògírì,,,,,,,,,,,,,,,,,,,,,,,,,,,,kùnù-kúⁿ pɔ́:rɛ̀,,,,,,Aegypius tracheliotus,"Aves, Accipitridae (vulture)",83,Torgos tracheliotus,"largest vulture, mostly to south",fauna (bird),
fauna,bird 03 (hawk),faune,oiseau (rapace),201,10,4,,,60023,,,2011,,white-backed vulture,gyps africain,,jàybàn dòŋùsú,,,,,,,,,,,,,,,,,,,,,,"tèbè mɔ᷈:-pílɛ̀\\tèbù: mɔ᷈:-[pílɛ̀-mbò], tèbè kɔ́gɔ́lɔ́",,,,těẃ kómbò,,,,,,,,,,,Gyps africanus,"Aves, Accipitridae (vulture)",83,Pseudogyps africanus,,fauna (bird),
fauna,bird 03 (hawk),faune,oiseau (rapace),201,10,2,,,60024,,,2011,,Rueppell's griffon vulture,vautour de Rueppell,,"jàybàn-ná:, jàybàn kú pótò",tè-dùwɔ̌-m\\tè-dùwɔ́,gàmbùrú-m,"àrⁿà wɔ̌:ⁿ (""man-"" plus onomatopoeia) (also marabou)",,"tèw-dùwɔ́ ~ [tì-tèw]-dùwɔ́ (""hawk..."", no clear connection to dùwɔ́ 'forge')",dùwɔ̀-ná:,tì-tèw dùwɔ́,,dùwɔ́,"tèw-dùwɔ́ (""hawk-vulture""), dùwɔ́",dùbɔ́,dùbɔ́,"dùbà kòlé (""vulture-monkey"")",dùbà: íníbé,"dùbɔ́, tèbù-dùbɔ́, dùbɔ̀ díyé",tèbù-dùbɔ́,,,dùbɔ́,cíkàrà,dùbà,"dùbɔ́\\dùbɔ́-mbó, tèbè-dùbɔ́\\tèbù:-[dùbɔ́-mbó], tèbè nálɛ́:",kɔ̀gɔ̀lɔ̀,,,dúwà,dúwà,,kàlà-dìgè,,kùnù-kúⁿ ʃɔ́ŋɔ̀rⁿɔ̀,,,zèybán-ó,"zèybán bé:rì (""vulture big"")",,Gyps rueppelli,"Aves, Accipitridae (vulture)",83,,"nest in cliffs, eaten by Dogon",fauna (bird),
fauna,bird 03 (hawk),faune,oiseau (rapace),201,10,3,,,60025,,,2011,,hooded vulture,percnoptère brun,,jàybàn kú-kɔ́gúsì:,gàmdú-m,gàmbùrù sɛ́kɛ́-m,"bɛ́ lògírì, kɔ́gɔ́rɔ́-kɔ̂y",,"júggá:rà, jùggà:rɛ̀ jɛ́m (""vulture black"")",kɔ̀kɔ̀rɔ̀-kɔ̌y,,,,,,dùbɔ́,dùbà,dùbá:,dùbɔ̀ gààlɛ̀ý,,,"tèbù-dùbɔ́ (""hawk-forge"")",dùbɔ́,dùbá,jígàrà,tèbè-jígà:rì\\tèbù:-[jígà:r-mbò],,,,sùgɔ́ dùwà,súgɔ́`dúwà,,dùbà,,"kùnù-kúⁿ dégé-síyòⁿ (""vulture head-white"")",,,gà:-gán-à:,"zèybàn-kòrìyà (""vulture-red"")",,Necrosyrtes monachus,"Aves, Accipitridae (vulture)",83,Neophron monachus,,fauna (bird),
fauna,bird 03 (hawk),faune,oiseau (rapace),201,10,7,,,60026,,,2011,,Egyptian vulture,vautour d'Égypte,,gòríyò,"púlɔ̀-m bɛ́:-sɔ́gɔ́-m\\bɛ́:-sɔ́gɔ́ (""Fulbe shit-peck"")",gígá:rè-m,tèw-dùwá,,"tòn-tòn pírú (Fombori, ""... white""), jùggà:rɛ̀ pírú (""vulture white"")",,,,,,,dùbɔ̀-írìŋ,dùbà pí,,,,,,kùló-kùlò,àrⁿá-kâ:,,tèbè pílɛ̀\\tèbù pílɛ̀-mbò,,ílímbɔ́,ílúmbɔ́  ,,,,,,"kùnù-kúⁿ ʃíyɔ̀ⁿ (""white"")",,,"gàb-ù kà:r-íyà (""hawk white-Dimin"")","gǎ:-gɔ́ŋgɔ̀ (""camp-chicken"")",,Neophron percnopterus,"Aves, Accipitridae (vulture)",83,,,fauna (bird),
fauna,bird 03 (hawk),faune,oiseau (rapace),201,10,5,,,60027,,,2011,,vulture (multiple spp.),"vautour, charognard (plusieurs spp.)",,jàybánú,,,,,,,zúká:rù,,,,,,,dùbá:,,,,,,,,,,"dúbà, dùbà-ká:nú","dúbà, dúbɔ̀, dùbɔ̀ ká:nú  ",,,dúbà,,,kùnù-kúⁿ,,,zèybán-ó,zèybán,,,"Aves, Accipitridae (vulture)",83,,,fauna (bird),
fauna,bird 03 (hawk),faune,oiseau (rapace),201,10,6,,,60028,,,2011,,vulture (small spp.),"vautour, charognard (petites spp.)",,,,,,,"júggá:rɛ̀ ~ júggá:rà (< Ful), yálà kú:ⁿ-[pórúw-ù] (""... head-bald"", cf. yâl-yâl 'moving hesitantly away')",,,,,"tèw-jígá:rì (""hawk-..."")",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aves, Accipitridae (vulture)",83,,,fauna (bird),
