Multilingual,lg family,Language (group),alternate lg (group),Language (based on native name),OfficialVillageName,Transcribed Village Name,N Lat,W Lon,lg comment,industries,weekly market,surnames,social info
,Atlantic,Fulfulde,peul (French),Fulfulde,Diommo (Fulbe),jɔmmɔ,14.400,-3.642,,,,Diallo,"Fulbe village on slight elevation in low plateau, paired with Diommo (Tommo); farming and herding"
,Atlantic,Fulfulde,peul (French),Fulfulde,Dioumdiouréré,"jonjileere, joŋgileere",14.871,-1.973,,,,Tamboura,village; Fulbe-Rimaibe; some weavers
,Atlantic,Fulfulde,peul (French),Fulfulde,Dirimbe,dirimbe,15.016,-2.900,,,,,
,Atlantic,Fulfulde,peul (French),Fulfulde,Dongoro,doŋgoro,14.583,-3.987,,,,"Traore, Bari",Rimaibe village in sandy plains near Sevare
,Atlantic,Fulfulde,peul (French),Fulfulde,Dorodon,dɔ̀rɔ́-dɔ́ (Tengou Kan),14.121,-3.457,"majority Fulfulde, Dogon speak Tengou Kan",,,Boli and Bari (Fulbe); Guindo and Togo (Dogon),predominantly Fulbe village with some Dogon; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Dossou,"doosu (Fulfulde), dó:sù (HS)",15.123,-1.701,,,,,small zone of Fulbe hamlets in plains near Kobou (Songhay); farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Doussoungou,dusuŋgu,15.207,-2.402,,,,Tamboura,"village in three slightly separated sections at base of mountain; sections called dusuŋgu, lowol, and koroy; Fulbe-Rimaibe; farming and herding"
,Atlantic,Fulfulde,peul (French),Fulfulde,Drimbe (aka Dirimbe),dirimbe,15.020,-2.889,,,,"Diallo (Fulbe), Tamboura (Fulbe-Rimaibe)",village in plains; Fulbe and Fulbe-Rimaibe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Ferendi,ferendi,15.250,-2.483,,,,Tamboura,village at base of mountain; Fulbe-Rimaibe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Fetesambou,fetasambo,14.838,-2.200,,,,Diallo,Fulbe-Rimaibe hamlet
,Atlantic,Fulfulde,peul (French),Fulfulde,Gafiti,gaafiti,15.157,-2.866,,,,Tamboura,"village at base of mountain; Fulbe-Rimaibe; farming and herding; new garden in 2011 (onions, garlic, potato)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Gai,gay,15.101,-2.118,,pottery,,Tamboura,village; Fulbe-Rimaibe; base of inselberg; pottery
,Atlantic,Fulfulde,peul (French),Fulfulde,Gana (near Kikara),gana,15.203,-2.517,,,,Tamboura,"village; abandoned old village on lower slope of mountain; new village at base of mountain; Fulbe-Rimaibe; ancient Tellem constructions visible at base of cliffs surmounting the lower slopes; gardening with water piped down from summit (sesame, tobacco, onion, squash, cassava)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Garmi,garmi,15.233,-1.803,,,,"Tamboura, Dicko; ","Fulbe-Rimaibe village in two sections, one on the plains at the western base of la Main de Fatouma, the other nearby on the lower slopes; village formerly much higher up, on summit; farming and herding"
,Atlantic,Fulfulde,peul (French),Fulfulde,Gassi (near Banggel-Toupe),"gasi (Fulfulde), gásà (Dogul Dom)",14.672,-3.619,Fulfulde-speaking but majority are ethnic Dogon (Tommo),,,"Kampo, Diallo, Kansaye [kàⁿsâj]",village on edge of plateau overlooking valley; originally populated by Fulfulde speakers (Kansaye]) from Kani in Tommo-So zone; farming and herding; extensive gardening in valley
,Atlantic,Fulfulde,peul (French),Fulfulde,Godoware,godowaare,14.855,-1.771,,,,Tamboura,village; Fulbe-Rimaibe
,Atlantic,Fulfulde,peul (French),Fulfulde,Gogoro,gogoro,15.219,-2.371,,,,Diallo,village in plains; Fulbe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Goundaka (east of Mopti),,14.488,-3.938,"Fulfulde, also Bambara, Dogon (Mombo), a few Tamashek (Bella)",,"Saturday, local","Ongoiba, Karambe, Dicko, Cissé",ethnically cosmopolitan village just off Mopti-Bandiagara highway (distinct from Goundaka near Sofara)
,Atlantic,Fulfulde,peul (French),Fulfulde,Goylel (Fulbe),goylel,15.319,-1.922,,,,"Diallo, Tamboura, Dicko","majority Fulbe-Rimaibe section of village on lower slope of low hill ridge beside sandy plains, came with Dogon expelled by the French from Tabi mountain; farming and herding; school; see also Goylel (Dogon)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Gueourou (Fulbe),géwrú pùlɔ̀-gɔ̀:rɔ́ (Togo Kan),14.158,-3.224,,,,"Bari, Diallo, Boli","sister village for Geourou (Togo Kan), in plains; farming and herding"
,Atlantic,Fulfulde,peul (French),Fulfulde,Haouangou,háwáŋgù,14.538,-1.951,,,,,hamlet; coordinates suggest part of Dionouga complex
,Atlantic,Fulfulde,peul (French),Fulfulde,Hinde Gaouga,winde gawde,14.869,-1.988,,,,Diallo,hamlet; Fulbe-Rimaibe
,Atlantic,Fulfulde,peul (French),Fulfulde,Iribanga (Fulbe),yèrìⁿ-bàŋà pùlɔ̀-gɔ̀:rɔ́ (Togo Kan),14.139,-3.451,,,,Boli,"hamlet, part of Iribanga village cluster, originally split off from Dorodon; Fulbe; farming and herding"
,Atlantic,Fulfulde,peul (French),Fulfulde,Isseye,"isey (Fulfulde), ìsɛ̂y (Dogon)",14.870,-2.021,chiefly family is Jamsay (Dogon) but most residents are Fulbe-speaking,some blacksmiths and weavers,"Saturday, local","Ongoiba (Dogon, chief's family), Tamboura (Fulbe-Rimaibe)",village; Dogon and Fulbe-Rimaibe
,Atlantic,Fulfulde,peul (French),Fulfulde,Kerana,kerena,15.033,-2.683,,,,,
,Atlantic,Fulfulde,peul (French),Fulfulde,Kiri-Fulbe (near Hombori),ceeri,15.285,-1.636,,,,Diallo,village in plains stretched out along base of long dune ridge; farming and herding; gardening; for Songhay section see Kiri (near Hombori)
,Atlantic,Fulfulde,peul (French),Fulfulde,Koboutjirey,"kobucirey (Fulfule), kòbù círèy (Songhay HS, ""red fig.tree"")",15.292,-1.653,"Fulfulde speaking majority, some Tamashek speakers",,,"Maiga, Gariko, Dicko, Sidibe, Diallo","village in plains at base of long dune ridge; Fulbe-Rimaibe (former slaves of Songhay) and freeborn Fulde; farming and herding; extensive gardens (date palm, African eggplant, tomato, cassava, cabbage, lettuce)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Kodiol,kojol,14.591,-3.870,,,,"Bari, Tamboura (Fulbe-Rimaibe); Karambe (one Dogon family)",Fulbe-Rimaibe hamlet on plain; one Tommo So speaking family
,Atlantic,Fulfulde,peul (French),Fulfulde,Kolongo,koloŋgo,15.088,-2.653,,,,Tamboura,village at base of mountain; Fulbe-Rimaibe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Kombo-Ogourou (Fulbe),kùmɔ̀gùrù pùlɔ̀-gɔ̀:rɔ́,14.240,-3.241,,,,Bari,"Fulbe village paired with Kombo-Ogorou (Jamsay speaking), said to have come from Burkina; farming and herding; gardens (papaya, tomato, etc.)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Kondioly,konjoli,14.588,-3.925,,,,"Diallo, Bari",Fulbe-Rimaibe hamlet on plain
,Atlantic,Fulfulde,peul (French),Fulfulde,Koni,,14.702,-3.976,,,,Tamboura,"village, Fulbe-Rimaibe"
,Atlantic,Fulfulde,peul (French),Fulfulde,Konna,konna,14.934,-3.886,,,"Thursday, fairly large",,"on main highway; distribution center for fish caught in nearby Niger R; mix of Fulbe, Fulbe-Rimaibe, and Marka, plus a few Dogon and Songhay"
,Atlantic,Fulfulde,peul (French),Fulfulde,Kouna,"kuna (Fulfulde), kó:nà: (Tomo Kan)",14.250,-4.150,"majority Fulfulde speakers, minority Tomo-Kan speakers",,,,
,Atlantic,Fulfulde,peul (French),Fulfulde,Koundougou-Wourol,kundogo-wurol,13.819,-3.423,,,,"Diallo, Bari","Fulbe settlement slightly apart from Koundougou, in plains; farming and herding"
,Atlantic,Fulfulde,peul (French),Fulfulde,Koursoutou,kursutu,15.189,-2.821,,,,Diallo,village at base of mountain; Fulbe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Lenga,leŋa,14.866,-2.133,,,,Diallo,hamlet; Fulbe-Rimaibe
,Atlantic,Fulfulde,peul (French),Fulfulde,Madina (near Banggel-Toupe),"madiina (Fulfulde), mádìnà (Dogul Dom)",14.686,-3.607,Fulfulde-speaking but many ethnic Dogon,,,"Kansaye [kàⁿsâj], Kampo, Diallo, Karambe, Guindo","village on edge of plateau overlooking long valley;farming and herding; gardens in valley; Guindo is chiefly family, their origin is Bamba"
,Atlantic,Fulfulde,peul (French),Fulfulde,Mamourou,ma:muru,14.570,-4.034,,,,"Djiguiba, Sidibe, Korobara",village in sandy plains near Sevare
,Atlantic,Fulfulde,peul (French),Fulfulde,Mbeba,,14.923,-3.725,"also a satellite village (Dogon, Najamba)",,,Diallo,"village, Fulbe"
,Atlantic,Fulfulde,peul (French),Fulfulde,Moniekana,"mùɲù kàná (Dogon), wàɲì kàná (Jamsay for ‘new dug.reservoir’)",14.683,-1.666,nominally Jamsay but most residents are Fulbe-Rimaibe,,,Diallo,village
,Atlantic,Fulfulde,peul (French),Fulfulde,Moussourou (near Sambere) (photo),,,,,,,,
,Atlantic,Fulfulde,peul (French),Fulfulde,Naye (Fulbe),nay,14.425,-3.037,,Segem caste present,,"Ngadiaka (Segem), Bari","one of two paired villages of the same name, for the other see Naye (Dogon); in plains"
,Atlantic,Fulfulde,peul (French),Fulfulde,Nene-Foulbe,"kooru-fulbe (Fulfulde), kɔ̀:r-flâ:mbô:",,,,,,,"Fulbe-speaking village, almost adjacent to Tomo-Kan speaking village Korou"
,Atlantic,Fulfulde,peul (French),Fulfulde,Nia-Moussa,ɲaa-musa,14.021,-4.116,,,,,"village, Fulbe and Rimaibe"
,Atlantic,Fulfulde,peul (French),Fulfulde,Nia-Ouro,ɲaa-wuro,14.005,-4.121,,,,,"village, Fulbe and Rimaibe"
,Atlantic,Fulfulde,peul (French),Fulfulde,Niakongo,ɲaakoŋgo,14.603,-4.001,also a few Tommo-So speakers,,,"Tamboura, Bari, Diallo (Fulbe-Rimaibe); Karambe (Dogon)",Fulbe-Rimaibe village on the plains; Tommo-So speakers from Tounkari
,Atlantic,Fulfulde,peul (French),Fulfulde,Nienagou,ɲeneŋgu,14.774,-3.908,,,,"Cisse, Traore (Fulbe-Rimaibe), Toure (Songhay)","village a short distance from Sambere; Fulbe-Rimaibe with some Songhay from Timbuktu;  farming and herding; gardening (guava, mango, jujube, calabash)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Niminiama,ñimi-ñama,15.141,-3.341,,,,"Diallo, Sidibé",village close to highway; Fulbe
,Atlantic,Fulfulde,peul (French),Fulfulde,Nokara,nokara,15.171,-2.371,,,,"Dicko (Fulbe), Tamboura (Fulbe-Rimaibe)",village at base of mountain; Fulbe (Dicko) and Fulbe-Rimaibe (Tamboura); farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Ogodengou (Fulbe),"ogodeŋu (Fulfulde), ɔ̀gɔ̀dèŋù pùlɔ̀-gɔ̀:rɔ́ (Dogon)",14.209,-3.167,,,,Bari,Fulbe village paired with Ogodengou-Na (Guimiri Kan); farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Ogui,ogi,15.053,-2.406,Fulbe speakers but with Dogon names,weaving of doum-palm mats (fronds purchased in markets),,Tengo,"village; now on flat plains at base of inselberg, formerly on lower slope of small inselberg"
,Atlantic,Fulfulde,peul (French),Fulfulde,Ouama (Wama),waama,15.241,-1.704,,,,,small Fulbe hamlet in plains near Kelmi
,Atlantic,Fulfulde,peul (French),Fulfulde,Ouankoro,,13.383,-3.833,,,,,
,Atlantic,Fulfulde,peul (French),Fulfulde,Oukoulourou,hukulluuru,14.937,-1.917,,,,Diallo,hamlet; Fulbe-Rimaibe
,Atlantic,Fulfulde,peul (French),Fulfulde,Ouro Fero,urofero,14.570,-3.835,,"blacksmiths, woodworkers (Segem)",,"Dicko, Diallo, Ba, Sangaré, Karambé, Sidibé, Tamboura, Yanoga (blacksmiths), Gadiaga (woodworkers)","village in sandy plains north of Goundaka (Fulbe, Rimaibe, and Fulbe-ized Dogon)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Ouro Ngerou,uro-njeru,15.106,-2.156,,,,,village; Fulbe-Rimaibe; near highway
,Atlantic,Fulfulde,peul (French),Fulfulde,Ouro-Nema,uro-neema,14.721,-3.967,,,,"Tamboura, Sidibe",village on highway; Fulbe-Rimaibe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Ouro-Ngeou,"uro-njew (Fulfulde), wùró-jèw (Bangime)",14.790,-3.835,,,,"Diallo, Toure, Kano, Dicko","village at base of hill; farming and herding; gardens and fruit trees (mango, tamarind)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Ouro-Toroli,uro-torol,13.892,-3.159,,,,Diallo,Fulbe hamlet; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Ourobangourdi,"uro-baa-ŋgurdi (""village of Baa Ngourdi"")",15.216,-2.706,,,,Diallo,small hamlet; Fulbe
,Atlantic,Fulfulde,peul (French),Fulfulde,Ourodjougal,"uro-juggal (""village of Djougal"")",15.208,-2.640,,,,Tamboura,village on plains; Fulbe-Rimaibe
,Atlantic,Fulfulde,peul (French),Fulfulde,Owo-Ouro (Wo-Ouro),"wo:-wuro: (Fulfulde), wɔ̀:-fúlàmbò: (Tomo-Kan)",14.083,-3.800,,,,,"Fulfulde-speaking village, part of the otherwise Tomo-Kan speaking Owo (Wo) village cluster"
,Atlantic,Fulfulde,peul (French),Fulfulde,Papara,papara,14.786,-3.890,,,,"Sangare, Tamboura",village in plains; Fulbe-Rimaibe; farming and herding; garden (abandoned)
,Atlantic,Fulfulde,peul (French),Fulfulde,Paré,pare,14.553,-4.068,,,,"Landoure, Yatasaye","village in sandy plains near Sevare, Diawombe (Fulbe sub-ethnicity specialized in commerce); Islamic school"
,Atlantic,Fulfulde,peul (French),Fulfulde,Perempe,perempe,14.457,-4.083,Fulfulde and Bambara,,,"So (Fulbe), Traore (Bambara)","village in plains, on main highway; Fulbe and Bambara"
,Atlantic,Fulfulde,peul (French),Fulfulde,Samaloye,samaloye,14.604,-3.985,a few Tommo So speakers,,,"Tamboura, Bari, and Diallo (Fulbe-Rimaibe); Karambe (Dogon)",Fulbe-Rimaibe village on plain; a few Tommo So speakers from Tounkari 
,Atlantic,Fulfulde,peul (French),Fulfulde,Sambere,,14.773,-3.918,,,"Sunday, local","Tamboura, Sidibe",village on highway; Fulbe-Rimaibe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Sampie,sampiya,15.100,-2.934,,,,Diallo,village at base of mountain; Fulbe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Saraboro,soroboro,14.539,-3.851,,,,"Tapily, Karambé","village along small rocky ridge near sandy plains north of Goundaka, Rimaibe (with Dogon names)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Sare-Soma,saare-sooma,14.750,-3.919,,"carpentry (mortars etc.), equivalent to Dogon Segem caste",,"Sidibe, Sangare (Fulbe-Rimaibe); Gadiaka (carpenters, equivalent to Dogon Segeme caste)","village; Fulbe-Rimaibe; farming and herding; carpentry, e.g. mortars (Gadiaka, equivalent to Dogon sɛgɛm caste)"
,Atlantic,Fulfulde,peul (French),Fulfulde,Sassourou,saasuru,14.624,-3.988,,,,Tamboura,Fulbe-Rimaibe village on plain
,Atlantic,Fulfulde,peul (French),Fulfulde,Sege-Bougie,sege-buje,14.637,-3.905,,,,"Tamboura (Rimaibe), Bari (Fulbe)",Fulbe and Rimaibe village on plain
,Atlantic,Fulfulde,peul (French),Fulfulde,Seguemara (Fulbe),segemara,14.521,-3.074,,,,Bari,"one of two paired villages in plains, for the other see Seguemara (Jamsay); farming and herding"
,Atlantic,Fulfulde,peul (French),Fulfulde,Serma,serma,14.866,-2.266,,,,Diallo,hamlet; Fulbe-Rimaibe
,Atlantic,Fulfulde,peul (French),Fulfulde,Siguiri,sigiri,15.139,-2.452,,,,,village; freeborn Fulbe plus Fulbe-Rimaibe; near highway
,Atlantic,Fulfulde,peul (French),Fulfulde,Simbi,simbi,15.134,-1.976,,,"Wednesday, medium",,village on main highway
,Atlantic,Fulfulde,peul (French),Fulfulde,Sinakoro,sinakoro,14.570,-4.050,,,,Si,village in sandy plains near Sevare
,Atlantic,Fulfulde,peul (French),Fulfulde,Somadougou,"soomadugu (Fulfulde), só:mà: (Tomo-Kan)",14.266,-4.066,Fulfulde plus large minority of Tomo-Kan speakers,,,,large village on highway
,Atlantic,Fulfulde,peul (French),Fulfulde,Some-Kiro,,15.056,-3.357,,,,,small Fulbe satellite village for Kiro (Bambara)
,Atlantic,Fulfulde,peul (French),Fulfulde,Sonfounou (Fulbe),"sòⁿ-fùnù-gwέrέ [Tomo Kan, VD]",13.820,-3.783,,,,"Diakité, Cissé",Fulbe village near Tomo Kan village Sonfounou
,Atlantic,Fulfulde,peul (French),Fulfulde,Soosari,soosari,14.587,-3.901,,,,"Bari, Tamboura",Fulbe-Rimaibe village on plain
,Atlantic,Fulfulde,peul (French),Fulfulde,Soufouroulaye,"sofurla:y (Fulfulde), sófùrlá (Tomo-Kan)",14.406,-4.084,,,,,"town in plains, on the main highway; Christian and Muslim"
,Atlantic,Fulfulde,peul (French),Fulfulde,Sougi,sukki,14.634,-3.940,,,,"Diallo, Bari, Tamboura",Fulbe-Rimaibe village on plain
,Atlantic,Fulfulde,peul (French),Fulfulde,Takoutala,taakutalla,14.851,-3.906,,,,Tamboura,"village, Fulbe-Rimaibe"
,Atlantic,Fulfulde,peul (French),Fulfulde,Tefewal,tepewal,14.658,-3.876,,,,"Tamboura, Bari, Diallo",Fulbe-Rimaibe village on plain
,Atlantic,Fulfulde,peul (French),Fulfulde,Tiaboly,caboli,14.651,-4.016,,,,Tamboura,"village in plains, Fulbe-Rimaibe"
,Atlantic,Fulfulde,peul (French),Fulfulde,Tialegel,ca-leggel,14.025,-3.150,,,,Bari,Fulbe hamlet near Koro; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Tiangali Sago ,caŋgal-sago,14.833,-3.502,,,,"Tamboura (Rimaïbé), Bari (Fulbe)","village on flat plateau paired with Tiangali Sare, mixed Fulbe and Rimaïbé; gardening; settled from De"
,Atlantic,Fulfulde,peul (French),Fulfulde,Tiangali Sare,caŋgal-saare,14.836,-3.507,,,,"Tamboura (Rimaïbé), Bari (Fulbe)","village on flat plateau paired with Tiangali Sego, mixed Fulbe and Rimaïbé; gardening; settled from De"
,Atlantic,Fulfulde,peul (French),Fulfulde,Tiena (near Zon),cena,13.887,-3.109,,,,Tal,Fulbe hamlet near Zon; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Tomborguel,tomborgel,14.658,-3.869,,,"Saturday, local","Tamboura, Bari",Fulbe-Rimaibe village on plain
,Atlantic,Fulfulde,peul (French),Fulfulde,Tombori,tombori,15.073,-2.934,,,,Diallo,small village at base of mountain; Fulbe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Torobani,torobani,15.116,-2.521,,,,,village; base of small inselberg
,Atlantic,Fulfulde,peul (French),Fulfulde,Touwa,tuwa,15.218,-2.504,,,,Diallo,village in plains; Fulbe; farming and herding
,Atlantic,Fulfulde,peul (French),Fulfulde,Tyilapanga (Fulbe),"cilapaŋa-fulbe (Fulfulde), cìlà-pàŋá fù̀làmbô: (Tomo-Kan)",,,,,,,adjacent to Tomo-Kan speaking Tyilapanga
,Atlantic,Fulfulde,peul (French),Fulfulde,Weliwarou,weliwaru,13.892,-3.159,,,,Sidibe,Fulbe hamlet; farming and herding; settled from Bandiagara
,Atlantic,Fulfulde,peul (French),Fulfulde,Weloungara,welu-ŋara,14.675,-3.841,,,,"Tamboura, Bari",Fulbe-Rimaibe village on plain
,Atlantic,Fulfulde,peul (French),Fulfulde,Wo-Ouro,,14.083,-3.800,,,,,
,Atlantic,Fulfulde,peul (French),Fulfulde,Yadianga (Fulbe),,14.054,-3.183,,,,Bari,"Fulbe hamlet associatd with Yadianga (Gourou), in plains; farming and herding"
,Bangime (isolate),Bangime,Bangerime,Bangime,Bara,bàrà,14.803,-3.754,,,,"Babadji, Yaloukouyé [jàlkújè]",village; lower slope and base of mountain; farming and light herding; Tellem structures on cliffs
,Bangime (isolate),Bangime,Bangerime,Bangime,Bounou,būùⁿ,14.792,-3.756,,some blacksmiths,,"Dicko, Bade, Bakoro, Coulibaly, Traore, Yaloukouyé [jàlkújè]; Samassekou (blacksmiths)","village on lower slopes of mountain; farming and light herding; gardening (tobacco, tomato, mango) some Tiranige-speaking blacksmiths originally from Keti; borassus-frond baskets"
,Bangime (isolate),Bangime,Bangerime,Bangime,Dieni,yíyé,14.784,-3.757,,"Bade, Babadji",,"Bade, Babadji",village on slope and at base of mountain; farming and light herding; borassus-frond baskets
,Bangime (isolate),Bangime,Bangerime,Bangime,Digari,dīgārù,14.789,-3.775,,,,"Bade, Karambe","village on flat shelf in slope of mountain; farming and light herding; gardening in plains (tomato, chili pepper, tobacco, mango)"
